,,,,
,,,,
,,,,
Name,Measurement #1,Measurement #2,Measurement #3,Measurement #4
721 nm,1.87715E-05,4.76157E-06,6.28307E-08,1.51015E-06
722 nm,4.03330E-05,7.59534E-06,0.00000E+00,1.62017E-06
723 nm,4.80872E-05,7.56459E-06,2.40257E-06,1.16223E-06
724 nm,2.59371E-05,3.35669E-06,8.90814E-06,8.86766E-07
725 nm,1.21230E-05,0.00000E+00,1.04461E-05,1.10415E-06
726 nm,2.96586E-05,0.00000E+00,3.39421E-06,1.61811E-06
727 nm,4.50280E-05,5.97511E-07,0.00000E+00,1.37481E-06
728 nm,4.02264E-05,1.99440E-06,3.66836E-06,3.32388E-07
729 nm,2.80720E-05,3.62636E-06,4.40972E-06,0.00000E+00
730 nm,1.88812E-05,5.14286E-06,8.13452E-07,1.70044E-07
731 nm,1.77341E-05,5.69116E-06,0.00000E+00,9.87241E-08
732 nm,1.99710E-05,5.01036E-06,2.99514E-08,0.00000E+00
733 nm,1.81823E-05,3.31284E-06,0.00000E+00,5.31849E-07
734 nm,1.73004E-05,1.49711E-06,2.25632E-07,8.31109E-07
735 nm,2.11201E-05,4.12960E-07,2.77050E-06,1.87748E-07
736 nm,1.81264E-05,0.00000E+00,3.94811E-06,1.69590E-07
737 nm,6.72710E-06,0.00000E+00,4.02546E-06,1.33226E-06
738 nm,7.44536E-06,1.66029E-07,1.09589E-05,1.74424E-06
739 nm,2.22741E-05,1.87303E-07,2.01396E-05,9.49437E-07
740 nm,3.22477E-05,0.00000E+00,1.47553E-05,2.65949E-07
741 nm,3.48716E-05,0.00000E+00,1.19219E-06,1.88751E-08
742 nm,3.70636E-05,2.95600E-06,0.00000E+00,0.00000E+00
743 nm,3.50053E-05,6.79325E-06,2.11328E-07,2.44964E-08
744 nm,2.46249E-05,8.30894E-06,2.30995E-07,3.72855E-07
745 nm,1.37101E-05,6.25523E-06,4.00521E-07,4.10224E-07
746 nm,8.29572E-06,1.76232E-06,2.50884E-06,4.62085E-08
747 nm,6.53776E-06,0.00000E+00,3.00017E-06,1.78612E-07
748 nm,7.53068E-06,0.00000E+00,4.48104E-06,6.83907E-07
749 nm,1.16306E-05,2.01563E-07,1.44784E-05,4.61641E-07
750 nm,1.35659E-05,5.95180E-08,2.19648E-05,5.42812E-09
751 nm,7.28977E-06,6.81695E-07,1.14880E-05,4.44575E-07
752 nm,0.00000E+00,3.15535E-06,0.00000E+00,1.40085E-06
753 nm,0.00000E+00,7.63068E-06,0.00000E+00,2.06292E-06
754 nm,4.11862E-06,1.20151E-05,5.10769E-06,1.73976E-06
755 nm,1.43616E-05,1.31961E-05,6.66021E-06,7.36216E-07
756 nm,1.17869E-05,7.69622E-06,3.92832E-06,6.10382E-07
757 nm,3.99268E-06,5.37514E-07,2.99275E-07,1.85041E-06
758 nm,1.09496E-05,8.44717E-07,5.84665E-07,3.83311E-06
759 nm,1.71031E-05,3.54404E-06,2.17892E-06,4.46523E-06
760 nm,6.09240E-06,1.90294E-06,1.48020E-06,2.60633E-06
761 nm,4.87242E-07,8.01058E-07,5.62779E-07,1.63696E-06
762 nm,8.99134E-06,4.45841E-06,2.02960E-06,2.77056E-06
763 nm,9.29078E-06,1.23310E-05,7.24276E-06,2.77886E-06
764 nm,9.34406E-07,1.77536E-05,1.13140E-05,1.33083E-06
765 nm,4.85614E-07,1.25892E-05,6.62537E-06,4.61520E-07
766 nm,8.41004E-06,8.46656E-06,0.00000E+00,6.51671E-07
767 nm,1.94249E-05,1.53644E-05,0.00000E+00,1.47119E-06
768 nm,3.06961E-05,1.56018E-05,1.51128E-06,1.72732E-06
769 nm,3.54654E-05,3.69010E-06,5.75870E-06,1.11543E-06
770 nm,2.23578E-05,0.00000E+00,9.02764E-06,7.19063E-07
771 nm,1.42699E-06,0.00000E+00,8.42717E-06,6.30041E-07
772 nm,0.00000E+00,2.43104E-06,2.51956E-06,3.96121E-07
773 nm,2.69650E-06,4.47613E-06,6.13301E-07,8.14314E-07
774 nm,1.64498E-05,6.09837E-06,7.24566E-06,2.24903E-06
775 nm,1.62840E-05,4.43424E-06,7.91988E-06,3.11710E-06
776 nm,2.74772E-06,6.42716E-07,1.10079E-06,3.17924E-06
777 nm,0.00000E+00,0.00000E+00,1.18968E-06,3.71903E-06
778 nm,3.09468E-07,1.30216E-08,1.01315E-05,3.56993E-06
779 nm,2.51384E-06,0.00000E+00,2.08583E-05,1.52462E-06
780 nm,7.22244E-06,3.36491E-06,1.92093E-05,8.17872E-07
