,,,,
,,,,
,,,,
Name,Measurement #1,Measurement #2,Measurement #3,Measurement #4
433 nm,7.06201E-06,4.48348E-06,4.48891E-04,4.97507E-06
434 nm,8.44471E-06,5.37658E-06,5.32125E-04,6.25790E-06
435 nm,7.37888E-06,7.51704E-06,6.29447E-04,7.73170E-06
436 nm,5.15438E-06,1.10725E-05,7.48943E-04,9.37157E-06
437 nm,7.79027E-06,1.48032E-05,8.93663E-04,1.11577E-05
438 nm,1.83471E-05,1.75720E-05,1.06625E-03,1.31208E-05
439 nm,2.73810E-05,1.91542E-05,1.27100E-03,1.55131E-05
440 nm,2.38783E-05,1.96151E-05,1.50858E-03,1.85589E-05
441 nm,1.23252E-05,2.04893E-05,1.78806E-03,2.22534E-05
442 nm,6.18793E-06,2.40004E-05,2.11287E-03,2.63278E-05
443 nm,1.17481E-05,3.04776E-05,2.46617E-03,3.04860E-05
444 nm,2.46755E-05,3.79119E-05,2.83889E-03,3.48580E-05
445 nm,4.01492E-05,4.48030E-05,3.24922E-03,3.98434E-05
446 nm,5.26336E-05,4.97979E-05,3.65609E-03,4.48083E-05
447 nm,5.73132E-05,5.22563E-05,4.04523E-03,4.94050E-05
448 nm,5.53963E-05,5.32079E-05,4.37091E-03,5.31789E-05
449 nm,5.22481E-05,5.51343E-05,4.59749E-03,5.59698E-05
450 nm,5.11066E-05,5.81142E-05,4.69738E-03,5.74907E-05
451 nm,5.21170E-05,5.88930E-05,4.67250E-03,5.74825E-05
452 nm,5.41898E-05,5.49087E-05,4.50795E-03,5.55248E-05
453 nm,5.41624E-05,4.87201E-05,4.24776E-03,5.21891E-05
454 nm,4.85094E-05,4.33735E-05,3.91060E-03,4.77936E-05
455 nm,4.02952E-05,4.00045E-05,3.55785E-03,4.31500E-05
456 nm,3.52737E-05,3.80156E-05,3.21488E-03,3.86108E-05
457 nm,3.50201E-05,3.66201E-05,2.89880E-03,3.44636E-05
458 nm,3.60522E-05,3.48876E-05,2.62108E-03,3.09670E-05
459 nm,3.56369E-05,3.23133E-05,2.39446E-03,2.83140E-05
460 nm,3.35655E-05,2.92071E-05,2.21070E-03,2.62305E-05
461 nm,3.00760E-05,2.60736E-05,2.06363E-03,2.44743E-05
462 nm,2.48519E-05,2.32216E-05,1.93526E-03,2.29469E-05
463 nm,1.76505E-05,2.10344E-05,1.81404E-03,2.17314E-05
464 nm,1.09916E-05,1.98902E-05,1.69212E-03,2.06382E-05
465 nm,9.98560E-06,2.01581E-05,1.56603E-03,1.92318E-05
466 nm,1.55160E-05,2.17198E-05,1.43538E-03,1.73774E-05
467 nm,1.98890E-05,2.36324E-05,1.31130E-03,1.56346E-05
468 nm,1.69083E-05,2.46436E-05,1.18811E-03,1.42985E-05
469 nm,1.24915E-05,2.39235E-05,1.07398E-03,1.32764E-05
470 nm,1.47290E-05,2.06916E-05,9.65684E-04,1.22042E-05
471 nm,2.08464E-05,1.64635E-05,8.66894E-04,1.10563E-05
472 nm,2.15086E-05,1.38843E-05,7.76699E-04,9.91360E-06
473 nm,1.49750E-05,1.35878E-05,6.94487E-04,8.86346E-06
474 nm,9.55951E-06,1.35465E-05,6.19187E-04,7.99068E-06
475 nm,1.08541E-05,1.22753E-05,5.54081E-04,7.35465E-06
476 nm,1.41123E-05,1.00918E-05,4.99361E-04,6.73736E-06
477 nm,1.38319E-05,7.69400E-06,4.55314E-04,5.94587E-06
478 nm,1.13990E-05,6.05845E-06,4.16865E-04,5.15884E-06
479 nm,1.09731E-05,6.31240E-06,3.80489E-04,4.74037E-06
480 nm,1.22567E-05,8.57851E-06,3.47557E-04,4.63448E-06
481 nm,1.09886E-05,1.20573E-05,3.20995E-04,4.38565E-06
482 nm,5.66987E-06,1.62679E-05,2.99367E-04,3.79924E-06
483 nm,3.88648E-09,2.15371E-05,2.77726E-04,3.21861E-06
484 nm,0.00000E+00,2.83057E-05,2.51789E-04,2.93650E-06
485 nm,0.00000E+00,3.74485E-05,2.26180E-04,2.96630E-06
486 nm,4.66576E-06,4.96541E-05,2.05484E-04,3.22250E-06
487 nm,1.04324E-05,6.38842E-05,1.89129E-04,3.42261E-06
488 nm,1.05479E-05,7.84490E-05,1.74735E-04,3.21967E-06
489 nm,5.32380E-06,9.27346E-05,1.61293E-04,2.71441E-06
490 nm,9.41706E-07,1.07279E-04,1.49566E-04,2.44747E-06
491 nm,7.07968E-07,1.22865E-04,1.40218E-04,2.66389E-06
492 nm,2.08233E-06,1.40999E-04,1.33875E-04,3.02580E-06
493 nm,2.66577E-06,1.63086E-04,1.30976E-04,3.26461E-06
494 nm,2.92304E-06,1.87714E-04,1.29860E-04,3.56574E-06
495 nm,3.88564E-06,2.13309E-04,1.28974E-04,4.16880E-06
496 nm,5.56672E-06,2.40776E-04,1.28579E-04,4.81891E-06
497 nm,7.45277E-06,2.71969E-04,1.29571E-04,5.04767E-06
498 nm,8.49021E-06,3.07670E-04,1.31749E-04,4.99513E-06
499 nm,7.16993E-06,3.48738E-04,1.34370E-04,5.38076E-06
500 nm,3.62148E-06,3.95684E-04,1.37376E-04,6.43937E-06
501 nm,9.20793E-07,4.46559E-04,1.41514E-04,7.49151E-06
502 nm,1.56734E-06,5.02770E-04,1.48173E-04,8.08023E-06
503 nm,4.93519E-06,5.64522E-04,1.55973E-04,8.61607E-06
504 nm,9.69968E-06,6.36485E-04,1.64382E-04,9.67469E-06
505 nm,1.39605E-05,7.16484E-04,1.71552E-04,1.10365E-05
506 nm,1.56806E-05,8.03027E-04,1.76202E-04,1.22136E-05
507 nm,1.50300E-05,8.96749E-04,1.79349E-04,1.31633E-05
508 nm,1.40101E-05,1.00076E-03,1.84063E-04,1.42190E-05
509 nm,1.37687E-05,1.11654E-03,1.90960E-04,1.55471E-05
