508	4.09E-01	5.75E-01	7.08E-02
509	4.26E-01	5.95E-01	6.55E-02
510	4.44E-01	6.16E-01	6.08E-02
511	4.62E-01	6.36E-01	5.66E-02
512	4.80E-01	6.57E-01	5.28E-02
513	4.99E-01	6.78E-01	4.92E-02
514	5.18E-01	6.98E-01	4.59E-02
515	5.36E-01	7.19E-01	4.28E-02
516	5.55E-01	7.40E-01	3.98E-02
517	5.74E-01	7.60E-01	3.69E-02
518	5.93E-01	7.80E-01	3.42E-02
519	6.11E-01	7.99E-01	3.16E-02
520	6.29E-01	8.17E-01	2.92E-02
521	6.45E-01	8.33E-01	2.70E-02
522	6.61E-01	8.48E-01	2.49E-02
523	6.76E-01	8.61E-01	2.29E-02
524	6.91E-01	8.74E-01	2.11E-02
525	7.05E-01	8.86E-01	1.94E-02
526	7.19E-01	8.97E-01	1.78E-02
527	7.32E-01	9.08E-01	1.64E-02
528	7.46E-01	9.18E-01	1.50E-02
529	7.58E-01	9.27E-01	1.37E-02
530	7.71E-01	9.36E-01	1.26E-02
531	7.82E-01	9.43E-01	1.15E-02
532	7.93E-01	9.50E-01	1.06E-02
533	8.04E-01	9.57E-01	9.68E-03
534	8.15E-01	9.63E-01	8.86E-03
535	8.26E-01	9.69E-01	8.09E-03
536	8.37E-01	9.75E-01	7.39E-03
537	8.48E-01	9.81E-01	6.74E-03
538	8.60E-01	9.86E-01	6.14E-03
539	8.71E-01	9.91E-01	5.59E-03
540	8.81E-01	9.95E-01	5.09E-03
541	8.90E-01	9.98E-01	4.63E-03
542	8.99E-01	1.00E+00	4.21E-03
543	9.07E-01	1.00E+00	3.83E-03
544	9.13E-01	9.99E-01	3.49E-03
545	9.19E-01	9.97E-01	3.17E-03
546	9.24E-01	9.94E-01	2.88E-03
547	9.28E-01	9.90E-01	2.62E-03
548	9.32E-01	9.86E-01	2.38E-03
549	9.36E-01	9.81E-01	2.16E-03
550	9.40E-01	9.77E-01	1.96E-03
551	9.45E-01	9.73E-01	1.78E-03
552	9.50E-01	9.70E-01	1.61E-03
553	9.56E-01	9.66E-01	1.46E-03
554	9.61E-01	9.62E-01	1.33E-03
555	9.66E-01	9.57E-01	1.20E-03
556	9.70E-01	9.50E-01	1.09E-03
557	9.73E-01	9.43E-01	9.90E-04
558	9.76E-01	9.35E-01	8.99E-04
559	9.79E-01	9.26E-01	8.16E-04
560	9.81E-01	9.18E-01	7.40E-04
561	9.84E-01	9.09E-01	6.72E-04
562	9.87E-01	9.01E-01	6.10E-04
563	9.90E-01	8.92E-01	5.53E-04
564	9.92E-01	8.83E-01	5.02E-04
565	9.94E-01	8.73E-01	4.56E-04
566	9.96E-01	8.63E-01	4.14E-04
567	9.98E-01	8.51E-01	3.76E-04
568	9.99E-01	8.39E-01	3.41E-04
569	1.00E+00	8.27E-01	3.10E-04
570	1.00E+00	8.14E-01	2.82E-04
571	1.00E+00	8.00E-01	2.56E-04
572	9.99E-01	7.86E-01	2.33E-04
573	9.98E-01	7.72E-01	2.12E-04
574	9.95E-01	7.56E-01	1.92E-04
575	9.92E-01	7.40E-01	1.75E-04
576	9.88E-01	7.23E-01	1.59E-04
577	9.83E-01	7.06E-01	1.45E-04
578	9.78E-01	6.88E-01	1.32E-04
579	9.74E-01	6.71E-01	1.20E-04
580	9.69E-01	6.53E-01	1.09E-04
581	9.66E-01	6.37E-01	9.97E-05
582	9.64E-01	6.20E-01	9.09E-05
583	9.61E-01	6.04E-01	8.29E-05
584	9.59E-01	5.88E-01	7.56E-05
585	9.56E-01	5.73E-01	6.90E-05
586	9.52E-01	5.57E-01	6.30E-05
587	9.47E-01	5.41E-01	5.75E-05
588	9.41E-01	5.25E-01	5.25E-05
589	9.35E-01	5.09E-01	4.80E-05
590	9.28E-01	4.93E-01	4.39E-05
591	9.20E-01	4.76E-01	4.02E-05
592	9.12E-01	4.60E-01	3.67E-05
593	9.04E-01	4.44E-01	3.36E-05
594	8.95E-01	4.27E-01	3.08E-05
595	8.86E-01	4.11E-01	2.82E-05
596	8.76E-01	3.95E-01	2.59E-05
597	8.66E-01	3.80E-01	2.37E-05
598	8.56E-01	3.64E-01	2.18E-05
599	8.45E-01	3.49E-01	2.00E-05
600	8.34E-01	3.34E-01	1.83E-05
601	8.23E-01	3.20E-01	1.69E-05
602	8.11E-01	3.06E-01	1.55E-05
603	8.00E-01	2.92E-01	1.42E-05
604	7.88E-01	2.78E-01	1.31E-05
605	7.75E-01	2.65E-01	1.21E-05
606	7.62E-01	2.52E-01	1.11E-05
607	7.48E-01	2.40E-01	1.02E-05
608	7.34E-01	2.28E-01	9.44E-06
609	7.20E-01	2.16E-01	8.71E-06
610	7.06E-01	2.05E-01	8.03E-06
611	6.91E-01	1.95E-01	7.42E-06
612	6.76E-01	1.84E-01	6.85E-06
613	6.61E-01	1.75E-01	6.33E-06
614	6.46E-01	1.65E-01	5.86E-06
615	6.31E-01	1.56E-01	5.42E-06
616	6.15E-01	1.48E-01	0.00E+00
617	6.00E-01	1.39E-01	0.00E+00
618	5.84E-01	1.31E-01	0.00E+00
619	5.69E-01	1.24E-01	0.00E+00
620	5.54E-01	1.17E-01	0.00E+00
621	5.39E-01	1.10E-01	0.00E+00
622	5.25E-01	1.03E-01	0.00E+00
623	5.10E-01	9.70E-02	0.00E+00
624	4.95E-01	9.11E-02	0.00E+00
625	4.80E-01	8.56E-02	0.00E+00
626	4.64E-01	8.03E-02	0.00E+00
627	4.48E-01	7.54E-02	0.00E+00
